2023-03-13 11:36:40.241 INFO  c.j.JavaCoffee.JavaCoffeeApplication - Starting JavaCoffeeApplication using Java 17.0.6 on LAPTOP-UITGDS1O with PID 11960 (C:\Users\farah_a3\Downloads\Alyasari_Farah_JavaCoffee_CaseStudy\JavaCoffee\target\classes started by farah_a3 in C:\Users\farah_a3\Downloads\Alyasari_Farah_JavaCoffee_CaseStudy\JavaCoffee)
2023-03-13 11:36:40.245 INFO  c.j.JavaCoffee.JavaCoffeeApplication - No active profile set, falling back to 1 default profile: "default"
2023-03-13 11:53:35.763 INFO  c.j.JavaCoffee.JavaCoffeeApplication - Starting JavaCoffeeApplication using Java 17.0.6 on LAPTOP-UITGDS1O with PID 10504 (C:\Users\farah_a3\Downloads\Alyasari_Farah_JavaCoffee_CaseStudy\JavaCoffee\target\classes started by farah_a3 in C:\Users\farah_a3\Downloads\Alyasari_Farah_JavaCoffee_CaseStudy\JavaCoffee)
2023-03-13 11:53:35.768 INFO  c.j.JavaCoffee.JavaCoffeeApplication - No active profile set, falling back to 1 default profile: "default"
2023-03-13 12:02:32.094 INFO  c.j.JavaCoffee.JavaCoffeeApplication - Starting JavaCoffeeApplication using Java 17.0.6 on LAPTOP-UITGDS1O with PID 25024 (C:\Users\farah_a3\Downloads\Alyasari_Farah_JavaCoffee_CaseStudy\JavaCoffee\target\classes started by farah_a3 in C:\Users\farah_a3\Downloads\Alyasari_Farah_JavaCoffee_CaseStudy\JavaCoffee)
2023-03-13 12:02:32.097 INFO  c.j.JavaCoffee.JavaCoffeeApplication - No active profile set, falling back to 1 default profile: "default"
2023-03-13 12:05:40.281 INFO  c.j.JavaCoffee.JavaCoffeeApplication - Starting JavaCoffeeApplication using Java 17.0.6 on LAPTOP-UITGDS1O with PID 28360 (C:\Users\farah_a3\Downloads\Alyasari_Farah_JavaCoffee_CaseStudy\JavaCoffee\target\classes started by farah_a3 in C:\Users\farah_a3\Downloads\Alyasari_Farah_JavaCoffee_CaseStudy\JavaCoffee)
2023-03-13 12:05:40.286 INFO  c.j.JavaCoffee.JavaCoffeeApplication - No active profile set, falling back to 1 default profile: "default"
2023-03-13 12:09:00.143 INFO  c.j.J.a.ItemServiceImplTest - Starting ItemServiceImplTest using Java 11.0.16.1 on LAPTOP-UITGDS1O with PID 19028 (started by farah_a3 in C:\Users\farah_a3\Downloads\Alyasari_Farah_JavaCoffee_CaseStudy\JavaCoffee)
2023-03-13 12:09:00.150 INFO  c.j.J.a.ItemServiceImplTest - No active profile set, falling back to 1 default profile: "default"
2023-03-13 12:09:17.816 INFO  c.j.J.a.JobServiceImplTest - Starting JobServiceImplTest using Java 11.0.16.1 on LAPTOP-UITGDS1O with PID 19028 (started by farah_a3 in C:\Users\farah_a3\Downloads\Alyasari_Farah_JavaCoffee_CaseStudy\JavaCoffee)
2023-03-13 12:09:17.816 INFO  c.j.J.a.JobServiceImplTest - No active profile set, falling back to 1 default profile: "default"
2023-03-13 12:09:21.233 INFO  c.j.J.a.JobServiceImplTest - Starting JobServiceImplTest using Java 11.0.16.1 on LAPTOP-UITGDS1O with PID 19028 (started by farah_a3 in C:\Users\farah_a3\Downloads\Alyasari_Farah_JavaCoffee_CaseStudy\JavaCoffee)
2023-03-13 12:09:21.233 INFO  c.j.J.a.JobServiceImplTest - No active profile set, falling back to 1 default profile: "default"
2023-03-13 12:09:24.029 INFO  c.j.J.a.JobServiceImplTest - Starting JobServiceImplTest using Java 11.0.16.1 on LAPTOP-UITGDS1O with PID 19028 (started by farah_a3 in C:\Users\farah_a3\Downloads\Alyasari_Farah_JavaCoffee_CaseStudy\JavaCoffee)
2023-03-13 12:09:24.029 INFO  c.j.J.a.JobServiceImplTest - No active profile set, falling back to 1 default profile: "default"
