2023-03-14 10:07:42.817 INFO  c.j.JavaCoffee.JavaCoffeeApplication - Starting JavaCoffeeApplication using Java 17.0.6 on LAPTOP-UITGDS1O with PID 14204 (C:\Users\farah_a3\Downloads\Alyasari_Farah_JavaCoffee_CaseStudy\JavaCoffee\target\classes started by farah_a3 in C:\Users\farah_a3\Downloads\Alyasari_Farah_JavaCoffee_CaseStudy\JavaCoffee)
2023-03-14 10:07:42.823 INFO  c.j.JavaCoffee.JavaCoffeeApplication - No active profile set, falling back to 1 default profile: "default"
2023-03-14 10:08:04.302 INFO  c.j.JavaCoffee.JavaCoffeeApplication - Started JavaCoffeeApplication in 23.809 seconds (JVM running for 26.503)
2023-03-14 10:10:59.207 INFO  c.j.J.s.controller.UserController - Login page displayed
2023-03-14 10:11:00.963 INFO  c.j.J.s.controller.UserController - Login page displayed
2023-03-14 10:11:45.713 INFO  c.j.JavaCoffee.JavaCoffeeApplication - Starting JavaCoffeeApplication using Java 17.0.6 on LAPTOP-UITGDS1O with PID 15476 (C:\Users\farah_a3\Downloads\Alyasari_Farah_JavaCoffee_CaseStudy\JavaCoffee\target\classes started by farah_a3 in C:\Users\farah_a3\Downloads\Alyasari_Farah_JavaCoffee_CaseStudy\JavaCoffee)
2023-03-14 10:11:45.717 INFO  c.j.JavaCoffee.JavaCoffeeApplication - No active profile set, falling back to 1 default profile: "default"
2023-03-14 10:12:04.914 INFO  c.j.JavaCoffee.JavaCoffeeApplication - Started JavaCoffeeApplication in 21.051 seconds (JVM running for 23.348)
2023-03-14 10:18:12.466 INFO  c.j.J.s.controller.UserController - Login page displayed
2023-03-14 10:18:14.128 INFO  c.j.J.s.controller.UserController - Login page displayed
2023-03-14 10:19:11.998 INFO  c.j.JavaCoffee.JavaCoffeeApplication - Starting JavaCoffeeApplication using Java 17.0.6 on LAPTOP-UITGDS1O with PID 18232 (C:\Users\farah_a3\Downloads\Alyasari_Farah_JavaCoffee_CaseStudy\JavaCoffee\target\classes started by farah_a3 in C:\Users\farah_a3\Downloads\Alyasari_Farah_JavaCoffee_CaseStudy\JavaCoffee)
2023-03-14 10:19:12.004 INFO  c.j.JavaCoffee.JavaCoffeeApplication - No active profile set, falling back to 1 default profile: "default"
2023-03-14 10:19:31.619 INFO  c.j.JavaCoffee.JavaCoffeeApplication - Started JavaCoffeeApplication in 21.964 seconds (JVM running for 24.323)
2023-03-14 10:20:14.912 INFO  c.j.J.s.controller.UserController - Login page displayed
2023-03-14 10:20:16.446 INFO  c.j.J.s.controller.UserController - Login page displayed
